,id_city,city,rain,pop,total_prediction_rain_per_city,latitude,longitude
16,16,Lyon,0.0,0.16,0.16,45.7578137,4.8320114
26,26,Saintes Maries de la mer,0.12,0.6699999999999999,0.7899999999999999,43.4522771,4.4287172
23,23,Uzès,0.24,0.58,0.82,44.0121279,4.4196718
25,25,Aigues Mortes,0.18,0.74,0.9199999999999999,43.5658225,4.1912837
24,24,Nímes,0.37,0.59,0.96,43.8374249,4.3600687
10,10,Colmar,0.0,0.99,0.99,48.0777517,7.3579641
13,13,Dijon,0.32,0.71,1.03,47.3215806,5.0414701
9,9,Chateau du Haut Koenigsbourg,0.16,0.88,1.04,48.249489800000006,7.34429620253195
11,11,Eguisheim,0.14,0.95,1.0899999999999999,48.0447968,7.3079618
22,22,Avignon,0.22,0.8999999999999999,1.1199999999999999,43.9492493,4.8059012
2,2,Bayeux,0.55,0.68,1.23,49.2764624,-0.7024738
5,5,Paris,0.41,0.87,1.28,48.8588897,2.3200410217200766
1,1,St Malo,0.58,0.95,1.5299999999999998,48.649518,-2.0260409
8,8,Strasbourg,0.93,0.9299999999999999,1.8599999999999999,48.584614,7.7507127
18,18,Bormes les Mimosas,1.1,1.05,2.1500000000000004,43.1572172,6.329253867921363
15,15,Grenoble,0.84,1.45,2.29,45.1875602,5.7357819
3,3,Le Havre,2.06,0.66,2.72,49.4938975,0.1079732
4,4,Rouen,1.73,1.1,2.83,49.4404591,1.0939658
0,0,Mont Saint Michel,1.9,1.02,2.92,48.6359541,-1.511459954959514
31,31,Montauban,2.12,1.06,3.18,44.0175835,1.3549991
6,6,Amiens,2.68,0.92,3.6,49.8941708,2.2956951
7,7,Lille,2.51,1.15,3.6599999999999997,50.6365654,3.0635282
19,19,Cassis,2.66,1.05,3.71,43.2140359,5.5396318
30,30,Toulouse,2.52,1.3399999999999999,3.86,43.6044622,1.4442469
34,34,La Rochelle,2.93,0.97,3.9000000000000004,46.1591126,-1.1520434
12,12,Besancon,3.12,0.91,4.03,47.2380222,6.0243622
14,14,Annecy,3.21,1.1600000000000001,4.37,45.8992348,6.1288847
28,28,Carcassonne,4.3,1.49,5.79,43.2130358,2.3491069
20,20,Marseille,5.090000000000001,1.05,6.140000000000001,43.2961743,5.3699525
17,17,Verdon Gorge,4.45,2.13,6.58,43.7496562,6.3285616
21,21,Aix en Provence,10.110000000000001,1.38,11.490000000000002,43.5298424,5.4474738
27,27,Collioure,11.3,2.19,13.49,42.52505,3.0831554
33,33,Bayonne,11.59,1.98,13.57,43.4933379,-1.475099
32,32,Biarritz,12.62,2.01,14.629999999999999,43.4832523,-1.5592776
29,29,Ariege,16.9,2.12,19.02,42.9455368,1.4065544156065486
